##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	F-50179271-003S_S30_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
1115	6	0.2881253944187776
1115	7	0.35534223562108735
1115	8	0.2770686279104808
1115	9	0.3264524246461704
1115	10-14	0.3454722319759469
1115	15-19	0.28018572072582515
1115	20-24	0.32748656589729563
1115	25-29	0.2565908070113494
1115	30-34	0.17860241973439628
1115	35-39	0.2629733722081866
1115	40-44	0.1779682715538229
1115	45-49	0.14681798608549457
1115	50-54	0.2549135497957238
1115	55-59	0.24202442042506078
1115	60-64	0.08349282883675357
1115	65-69	0.10277949058609437
1115	70-74	0.14604758194806067
1115	75-79	0.09043143430302791
1115	80-84	0.08893588004688269
1115	85-89	0.18666429258171746
1115	90-94	0.00656806285258682
1115	95-99	0.0735554637824336
1115	100-104	0.25771973382818913
1115	105-109	0.09562488474174557
1115	110-114	-0.04870244216040476
1115	115-119	-0.07879937481141042
1115	120-124	-0.1386076099262894
1115	125-129	-0.08995899314641065
1115	130-134	0.0058068197931788745
1115	135-139	-0.2902766558390084
1115	140-144	-0.2093521482367393
1115	145-149	-0.08970719747724587
1115	150-151	-0.2463240868108727
1116	1	0.18658719744936292
1116	2	0.2044383987688434
1116	3	0.37071558420196027
1116	4	0.2632402025494045
1116	5	0.13184793691558383
1116	6	0.22835287081787925
1116	7	0.18154598281263645
1116	8	0.061428869322853075
1116	9	0.12215624003383851
1116	10-14	0.1030876845899158
1116	15-19	0.11314409902389144
1116	20-24	0.14773082786400238
1116	25-29	0.13208256574278465
1116	30-34	0.09675915744487895
1116	35-39	0.15384256494121473
1116	40-44	0.05992197416368583
1116	45-49	0.14458411441132313
1116	50-54	0.12018092825794469
1116	55-59	0.2509371796511459
1116	60-64	0.12505712764514243
1116	65-69	0.0646922937592862
1116	70-74	0.11452172089526158
1116	75-79	0.11973317677416873
1116	80-84	0.1679072915626847
1116	85-89	0.11666998926251182
1116	90-94	0.09505957315359836
1116	95-99	0.054219164506591255
1116	100-104	0.39186082571112024
1116	105-109	0.20018354988624765
1116	110-114	0.0952530456622398
1116	115-119	0.046687143876894766
1116	120-124	0.14870813857059062
1116	125-129	0.16112453794729475
1116	130-134	0.2346453965653268
1116	135-139	0.04399100265914058
1116	140-144	-0.03843279624995688
1116	145-149	-0.01640432964039462
1116	150-151	-0.4021355797960453
1201	1	-0.3419243638678964
1201	2	-0.5788817927967145
1201	3	-0.8712023565967613
1201	4	-0.9373630509198989
1201	5	-0.7535236655731339
1201	6	-0.85975524650474
1201	7	-0.7380541443271227
1201	8	-0.6698901585525192
1201	9	-0.8067349795571914
1201	10-14	-0.6761379269962902
1201	15-19	-0.8381135817178134
1201	20-24	-0.7130064383619583
1201	25-29	-0.8671956105255632
1201	30-34	-0.8524713311765098
1201	35-39	-0.798286991466874
1201	40-44	-0.9974650411782235
1201	45-49	-0.824464968037951
1201	50-54	-0.9200503546579526
1201	55-59	-0.8238997374205397
1201	60-64	-0.9782373237315625
1201	65-69	-1.0259235420978214
1201	70-74	-0.9579333399826524
1201	75-79	-1.095079257883036
1201	80-84	-1.0519688401271168
1201	85-89	-1.112242752891305
1201	90-94	-1.685479219473784
1201	95-99	-1.518511104592875
1201	100-104	-1.3656494077098102
1201	105-109	-1.4283651917616282
1201	110-114	-1.8042221918267742
1201	115-119	-1.4993289233422402
1201	120-124	-1.372883650326422
1201	125-129	-1.4440989813325942
1201	130-134	-1.3442887146588305
1201	135-139	-1.6002304695847656
1201	140-144	-1.755466355663284
1201	145-149	-1.6077946099225073
1201	150-151	-1.629978852582184
1202	1	-0.4227146555582664
1202	2	-0.7077713645386297
1202	3	-0.8474199810621386
1202	4	-0.6891108427971133
1202	5	-0.837733990938176
1202	6	-0.6945219222244319
1202	7	-0.8238438286965177
1202	8	-0.6664264821331329
1202	9	-0.7243239034071465
1202	10-14	-0.699930750831129
1202	15-19	-0.7069173584214141
1202	20-24	-0.7175134521890882
1202	25-29	-0.7112497868009342
1202	30-34	-0.8586568655156697
1202	35-39	-0.7480413244524655
1202	40-44	-0.763346475496661
1202	45-49	-0.7718419653695108
1202	50-54	-0.8216630870083463
1202	55-59	-0.74234301667164
1202	60-64	-0.9562825380273026
1202	65-69	-0.9415937730456605
1202	70-74	-0.944444569586409
1202	75-79	-1.0594120532037863
1202	80-84	-0.9486666908400139
1202	85-89	-0.9719406400219199
1202	90-94	-1.1623272545968675
1202	95-99	-1.247718907770988
1202	100-104	-1.424876855118569
1202	105-109	-1.4403890270864395
1202	110-114	-1.3079498190956826
1202	115-119	-1.5284072052285964
1202	120-124	-1.638245059473597
1202	125-129	-1.5695555380229465
1202	130-134	-1.382848687935919
1202	135-139	-1.5975709167917245
1202	140-144	-1.8632937531248928
1202	145-149	-2.1972283884097124
1202	150-151	-2.164563812951453
1203	1	-0.26796914050596854
1203	2	-0.714053664275113
1203	3	-0.8389478472106262
1203	4	-0.7080269957875842
1203	5	-0.509628104018411
1203	6	-0.439056600685781
1203	7	-0.5281307644246809
1203	8	-0.545627988149505
1203	9	-0.5102965183929626
1203	10-14	-0.5249911077182503
1203	15-19	-0.5415599471530896
1203	20-24	-0.6788765882958927
1203	25-29	-0.6053870108454689
1203	30-34	-0.6510064446669972
1203	35-39	-0.6073362229228607
1203	40-44	-0.7730053291553887
1203	45-49	-0.7019391576983125
1203	50-54	-0.7511516159725034
1203	55-59	-0.664268107824995
1203	60-64	-0.7868117955441178
1203	65-69	-0.8174396468907688
1203	70-74	-0.8277636599944387
1203	75-79	-0.9405747869689094
1203	80-84	-0.8617151503108005
1203	85-89	-0.9054710264103676
1203	90-94	-1.0587157449620435
1203	95-99	-1.1468860911798018
1203	100-104	-0.8736807733819205
1203	105-109	-1.2203017348540826
1203	110-114	-1.282601425046181
1203	115-119	-1.2137654213098372
1203	120-124	-1.283887103979417
1203	125-129	-1.2084274233496899
1203	130-134	-1.2097525413561527
1203	135-139	-1.4114741028816553
1203	140-144	-1.3453534970071175
1203	145-149	-1.3783460315203584
1203	150-151	-2.0543066397240004
1204	1	-0.36194609227263896
1204	2	-0.392261672945871
1204	3	-0.5996367124888948
1204	4	-0.6505252049327126
1204	5	-0.666720089467816
1204	6	-0.3413191526171957
1204	7	-0.6046947685822559
1204	8	-0.5599652247207132
1204	9	-0.6287648889507977
1204	10-14	-0.5444691206369399
1204	15-19	-0.5171507525020402
1204	20-24	-0.5812663651360523
1204	25-29	-0.5243156099204853
1204	30-34	-0.5966356800277168
1204	35-39	-0.5582107145752744
1204	40-44	-0.6898353692452162
1204	45-49	-0.6624750681272076
1204	50-54	-0.6792482079399988
1204	55-59	-0.6060919671405571
1204	60-64	-0.8428424323408166
1204	65-69	-0.7841676067373768
1204	70-74	-0.7821453278359556
1204	75-79	-0.7954166486994865
1204	80-84	-0.8365593014217723
1204	85-89	-0.8503075165168639
1204	90-94	-0.9469890171925641
1204	95-99	-0.9326713661914923
