mrna_F.50179058.003S mrna_F.50179060.003S mrna_F.50179062.003S mrna_F.50179066.003S mrna_F.50179064.003S mrna_F.50179068.003S mrna_F.50179071.003S mrna_F.50179073.003S mrna_F.50179075.003S mrna_F.50179077.003S mrna_F.50179079.003S mrna_F.50179081.003S mrna_F.50179083.003S mrna_F.50179085.003S mrna_F.50179087.003S mrna_F.50179089.003S mrna_F.50179091.003S mrna_F.50179093.003S mrna_F.50179095.003S mrna_F.50179097.003S mrna_F.50179099.003S mrna_F.50179101.003S mrna_F.50179105.003S mrna_F.50179106.003S mrna_F.50179108.003S mrna_F.50179110.003S mrna_F.50179112.003S mrna_F.50179114.003S mrna_F.50179116.003S mrna_F.50179118.003S mrna_F.50179120.003S mrna_F.50179122.003S mrna_F.50179123.003S mrna_F.50179125.003S mrna_F.50179127.003S mrna_F.50179129.003S mrna_F.50179131.003S mrna_F.50179133.003S mrna_F.50179135.003S mrna_F.50179137.003S mrna_F.50179139.003S mrna_F.50179141.003S mrna_F.50179143.003S mrna_F.50179145.003S mrna_F.50179147.003S mrna_F.50179149.003S mrna_F.50179151.003S mrna_F.50179153.003S mrna_F.50179155.003S mrna_F.50179157.003S mrna_F.50179159.003S mrna_F.50179161.003S mrna_F.50179163.003S mrna_F.50179165.003S mrna_F.50179167.003S mrna_F.50179169.003S mrna_F.50179171.003S mrna_F.50179173.003S mrna_F.50179176.003S mrna_F.50179182.003S mrna_F.50179184.003S mrna_F.50179186.003S mrna_F.50179188.003S mrna_F.50179190.003S mrna_F.50179192.003S mrna_F.50179194.003S mrna_F.50179196.003S mrna_F.50179198.003S mrna_F.50179200.003S mrna_F.50179201.003S mrna_F.50179203.003S mrna_F.50179205.003S mrna_F.50179207.003S mrna_F.50179209.003S mrna_F.50179211.003S mrna_F.50179213.003S mrna_F.50179215.003S mrna_F.50179217.003S mrna_F.50179219.003S mrna_F.50179221.003S mrna_F.50179223.003S mrna_F.50179225.003S mrna_F.50179227.003S mrna_F.50179229.003S mrna_F.50179231.003S mrna_F.50179233.003S mrna_F.50179235.003S mrna_F.50179237.003S mrna_F.50179239.003S mrna_F.50179241.003S mrna_F.50179243.003S mrna_F.50179245.003S mrna_F.50179247.003S mrna_F.50179249.003S mrna_F.50179251.003S mrna_F.50179253.003S mrna_F.50179255.003S mrna_F.50179257.003S mrna_F.50179259.003S mrna_F.50179261.003S mrna_F.50179263.003S mrna_F.50179265.003S mrna_F.50179267.003S mrna_F.50179269.003S mrna_F.50179271.003S
K03453 124 51 314.62 517.95 140.29 123 261.75 168.56 137.28 127.14 61 190.91 744.06 211.26 206.04 142.11 154.7 128.9 150.04 186.03 149.1 173.4 127 147.87 160.94 138.64 223.24 225 153.45 15 202.01 123.95 624.28 230.49 170 448.56 155.16 426.62 138.8 30 118.11 272 223 402.74 249.25 140 555.29 155 381.6 47 318.36 152.75 107.05 124 485.55 184.96 291.67 142.11 195.26 178.16 621.85 102 321.26 388.07 335.9 133.28 61.52 52.91 63 101.61 137 410.85 319.76 108 260.4 40 153.62 114.69 281.89 114.63 250.13 204.58 350.94 425.9 106 152.01 165.61 25.92 339.68 141.84 406.12 76.46 230.83 345.34 114 110 139.46 228.95 233.05 137.86 197.57 25.08 260.32 301.38 369.05
K03455 0 0 1 5 0 0 2 0 0 0 0 1 0 0 0 1 0 2 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 3 1 0 0 0 2 0 0 5 0 0 0 0 0 0 0 0 2 1 0 0 2 0 1 0 0 1 0 1 2 3 2 0 1 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 9 3 1 0 0 0 0 0 0 0 0 0 0
K03456 0 0 3 6 0 0 2 3 0 2 0 0 0 0 2.06 4.29 2 2 0 1 3 1 1 5 1 3 6 0 0 2 0 5 0 5 1 0 2 0 2 3 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2.13 0 6 0 6 0 0 1 0 0 1 0 0 0 0 10.09 0 0 0 0 0 0 0 0 1 0 0
K03457 1 1 2 78 6 2 2 10 0 1 11 1 38 4 11 3 3 3 2 12 2 1 8 3 3 0 10 187 1 1 2 3 4 1 5 0 1 12 2 5 1 32 3 118 85 0 63 5 95 0 46 13 1 1 144 1 6 28 3 361 520 73 0 41 51 15 19 8 1 1 2 17 48 181 21 5 17 2 70 27 78 24 17 102 38 60 1 1 55 6 30 1 13 48 1 56 6 1 8 1 1 2 2 3 344
K03459 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
K03462 10 88 2 10 110 471 79 312.8 35 506 74.8 75 2117 986 13 10 17.36 24.44 2 38.98 2 3 337.25 31.44 687.78 26.31 9 25 37 7 338 109 46 2131.03 2 8 19 468.14 1 0 7 31.84 18 16483.52 4 30 7329.01 6 452 45.57 182 1 42 5 6717.33 288 365.74 43 2516 108 193.73 326 27 106.41 34.13 0 32 75 7 44.18 13 812 2098.59 51 10 3 651.35 53 495.49 20 746 237 1063 2 301 471.83 56 4 220.96 74 3421.85 0 54 846 192 54.28 4 22.57 5 104 57 1 6.99 52 42
K03465 82 229 46 275 110 58 200.67 55.32 164 72 79.04 153 498.21 98.35 108 51 71 103 198 221 133 88 34.71 105 66 60 104 114.65 154 51 169.34 105 486.78 92 97.99 1465 89 354.93 77 43 57 299.35 197.68 443 142 68.38 472.13 91 291.56 26 402 220 81 152 267.71 576 209 40 139.97 81 490 126 148.41 288 353.99 107.99 74 60 70 223.41 100 276.37 149.32 162 224 63 167.33 81.41 216.28 294.69 117.34 229 242 348.07 107 281.99 142 32 770.7 95 486.11 128 379 413 70 287 115 130 338.35 124 113 158.53 200 70 405
K03466 6545.26 3458.4 3841.27 5894.73 13520.17 6105.28 8032.51 5171.51 4347.54 2929.56 3308.27 5666.15 21990.06 7833.82 7127.61 4268.81 7463.07 4323.75 3546.88 8646.99 9587.66 5346.7 3830.45 4106.03 5244.82 4891.65 7548.52 8422.66 4447.84 4585.27 4794.92 4231.11 17554.23 8826.37 5114.92 1292.95 5494.51 16833.95 4330.96 3043.71 5076.08 7140.4 9208.18 10157.27 5490.54 5819.83 5093.26 6856.15 8961.82 2901.33 4316.62 5653.36 5261.58 2070.26 10920.34 2170.7 11272.59 3113.69 6531.08 6688.37 6861.63 2242.34 8744.31 9416.03 5362.52 7236.4 2689.7 4944.11 1898.45 5491.76 3031.46 10254.99 8662.84 3631.25 16553.64 3788.07 4636.39 6870.17 6313.62 3807.53 3898.88 4111.46 8086.95 4734.02 5851.71 2715.65 8885.96 2449.37 6243.82 7600.75 7196.13 4131.41 5660.02 7930.76 6164.78 3123.68 4637.47 15304.78 4224 9001.65 692.8 10086.75 4024.68 17970.16 5069.04
K03468 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 5 1 0 2 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0.99 0 0 0 0 1 0 0 0 0 3.99 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1.99 0 4.99 0 0 0
K03469 186.33 206.43 481.38 381.14 89.66 93.2 600.96 666.73 92.99 858.59 277.45 74.26 2009.44 289.58 441.83 46.32 402.65 170.64 83 633.61 175.82 433.01 643.5 123.66 57.5 503.76 305.07 450.21 176.59 67.46 257.8 522.32 381.94 119.77 118.22 70 127.48 569.2 115.92 528.29 227.35 614.62 99.59 338.74 315.96 47.48 649.25 95.6 560.52 28 305.87 242.82 431.42 93.82 382.16 395.05 302.64 105.59 306.74 236.56 2813.65 221.87 86.97 118.18 1131.79 178.02 100.77 194.52 63.07 509.39 298.11 243.77 196.88 414.86 247.23 104.16 241.53 131.73 885.07 483.15 269.43 113.52 246.66 280.98 271.07 333.94 290.28 72.99 361.1 125.86 523.31 705.42 800.64 566.84 130.17 1447.9 355.68 109.31 150.96 265.51 135.12 183.64 190.5 157.1 252.79
K03470 241.98 265 302 446.93 86.03 124.75 192.85 50.49 82 36 61.99 68.17 275.91 64.87 150.86 90.01 67.59 242.37 133.66 173.65 147.69 106 53 93.83 79.86 78.78 104.29 93.67 145.36 64 143.03 149.44 208.25 72.43 54.27 121.73 91.97 85.28 100.48 50.29 76.15 493.19 98.83 364.72 327.43 37.99 323.76 131.14 223.56 36 265.41 382.49 330.96 85.76 367.3 593.3 241.98 46.13 278.74 227 811 127.13 121.97 328.95 518.36 206.04 77.25 179.26 87.25 334 161.47 466.58 129.82 325.74 193.86 120.85 185.14 159.64 472.96 232.26 119.33 83.94 300.83 271.6 70 149.23 323.3 60.69 464.78 85.26 335.12 316.03 536.26 575.12 297.96 282.21 432.26 126.62 236.77 253.95 151.34 216.91 240.18 104.44 331.91
K03471 464 46 0 14.66 1158 10 31 912.9 259 1 344.94 287 12 69 1045.68 6 1433.44 129 19 1880.98 388.82 410.92 2 248 20 481.9 166 512.94 86 300 138 1556.14 4 31.7 412.8 192 65.1 15 178 245 407 41 44 2 6 73 6 72 42 250 8 42 117 36 5 23 680 21 51 490 19 1 287 5 61 582 59 44 28 21 45 4 21 110 1499 4 20 79 63 54 21 13 7 4 8 30 1071 0 13 1009 6 21.64 28 13 91 11 85 1400 6 610 19 1514 14 1221 18
K03472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K03473 44.58 313.69 734.83 803.35 104.86 103.53 350.82 49.93 110.06 40.32 35.39 144.3 495.11 49.13 203.23 71.11 39.75 386.68 302.12 299.6 115.67 412.54 170.58 172.37 55.02 125.25 160.29 135.77 294.69 85.28 306.24 214.57 968.87 81.05 106.48 562.38 154.71 186.86 223 94.87 197.72 1438.26 141.97 928.24 511.53 35.58 1088.73 34.61 305.65 24.74 765.28 543.49 126.45 133.43 260.28 718.96 275.03 88.61 568.03 524.42 2578.87 220.12 348.65 231.13 693.36 191.61 116.47 138.41 307.48 970.11 251.66 400.43 156.64 637.8 722.25 182.31 364.41 96.84 547.4 340.68 219.21 204.96 280.37 636.29 56.68 338.32 500.4 50.36 589.84 284.14 523.68 133.76 671.54 833.03 32.66 876.18 945.17 202.07 490.18 246.14 534.74 520.52 987.69 147.69 1069.27
K03474 18 205 623.72 526.83 41 62 435.69 116 68 39 31 182.27 464.45 30 235.65 27 105 685.89 157 241.52 499 292 206 195.45 40 107 175 207.55 170.11 74 265.81 394 250 107 93 119 109.23 105.47 181 125.78 106 679.75 65.03 221.61 465 10 374.38 50.46 251 20 344.92 306 53 56 85 270.68 119.96 24 249 202 1886.28 145 151.1 100.47 470.71 41.69 60 299 181.69 565 173.67 400.79 109.01 402.89 282.41 164 118.97 45 266 185 78 87 98.47 255.66 84 173.68 194 66 606.33 104.28 257.77 615 684.05 286.71 44 489.6 1483.47 102.9 215.56 134.04 126.35 499.92 360.68 41 335.02
K03475 113 639.65 715 46 13 23.12 152.79 33 26 30.28 6.28 108.67 124.86 45.17 43.4 57.18 58 63.91 103.63 65.35 269.58 78.73 72.35 40 64 49 68.33 43 73.78 267.66 74.15 53 78.88 66.77 64 112 123.99 33 132.74 283.33 55 991.99 17 260 78.88 27 244.75 52 41 30 51 122 812.99 14.41 34.8 10 321.3 13 77 73 439.95 69 15.08 23 67.68 198.56 79 490.88 59.97 1462.67 42 829.84 57 189.99 52.06 208 149.65 98 93.58 52 68 22 16 53 17 88.4 40 57.42 92 59 38.22 175.69 107 47 122 149 64 15 20.22 37.78 37 67.99 50 8 25
K03476 57 20 83 27 16 5 26 4 14 8 8.86 13 25 11.53 12 12 14 20.93 19 17 9 13 33 17 10 13 4 20 25 21 22 12 60.56 15.66 10 56 7 10 26.5 22 14 22 28 7 21 18 12 28 22 2 16 7 96 43 25.6 40 26 7 43 32 21 25.99 28.99 10 21.66 15 18 24 11 34 35 9 28 52 69.47 56 6 60 26 7 18 11 13 17 19 25.3 20 15 11 31 39.89 13 24 25 32.99 49 44 23 129.89 51.01 12 68 46 19.99 16
K03477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
K03478 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
K03480 10 56 15 11 7 0 2 0 0 0 1 0 1 0 0 0 0 3 3 0 1 0 5 0 1 1 0 1 0 4 1 0 2 0 0 3 1 0 5 1 4 15 3 4 28 0 9 0 1 1 7.79 25 3 15 0 16 13.92 2 34 34 18 10 0 5 18 9 2 8 4 41 8 4 4 44 16 6 17 5 5 1 9 2 1 5 0 4 24.97 5 6 15 3 5 6 6 2 21 34 3 5 22 11 40.17 8 3.36 7
K03481 16 1 2 2 0 3 7 0 2 0 1 0 0 5 1 1 0 0 2 0 0 0 7 1 1 0 4 0 3 0 0 3 12 3 0 8 2 17 0 2 7 1 3 2 2 0 4 2 2 1 1 0 5 0 2 3 1 1 0 1 1 1 3 2 0 6 1 1 0 4 1 6 3 0 6 0 0 0 6 1 2 1 1 0 0 0 15 2 3 6 1 1 1 3 3 5 2 1 0 5 0 5 0 10 4
K03482 0 10 2 12 0 0 12 10 0 0 0 32 2 2 12 0 8 10 6 10 24 8 0 8.82 6 6 10 12 0 4 6 8 2 8 12 0 16 0 20.98 4 0 8 0 2 2 0 2 10 0 8 12 6 6 0 0 0 2 0 4 0 6 8 0 10 10 2 0 12 4 12 6 8.24 2 18 4 0 2 0 34 2 10 8 6 12 2 8 0 6 0 12 2 20 18 2 0 2 6 0 0 2 2 4 0 2 0
K03483 13 31.99 65.47 18 5 3 34.42 29 25 5 11 38.76 50 12 34.33 39.23 23.48 16.43 26 29.22 113.58 52.57 26.99 24 20.24 33.51 20.09 10 32 148.11 37.39 33 21.13 19 24.16 68.81 54.9 18 62 76.16 28.14 21.46 1 14.99 24.99 3 11 20.37 31 4 15 37.43 22.32 3 8 35.72 23.41 1 16.99 10 3 18.69 4 5 25.99 51.35 31 56.31 11 75.28 17.49 61 28.35 46 11 92.39 31.99 17 29 24 11 6 7 6 3 38.53 8.99 18 24 12 10 41.2 37 28 27 27 10 4 5 5.99 7 13.99 36 4 6
K03484 189.49 137.86 101.52 53.46 1207 55.73 119.45 113.46 149 36 23.89 73.27 162 124.21 129.57 84.56 219.51 40.55 214.88 184.4 132.67 89.59 282.81 60.68 76.58 97 105.21 148.04 420 116.64 81.47 104.73 142 61 244.16 333 67.23 179 45 190.42 71.65 54.35 87 80.36 71.5 76 41.99 46.92 120.09 25 56.47 75 260.66 47.42 122 97.18 271 8.53 131.43 79 33 16.38 102 171.73 68.37 107.08 93.57 141.41 12.56 134.11 47.71 163.18 94.99 53.18 94.37 78.95 30.2 38.18 59.45 46.49 145.11 66.9 58.47 42.53 59.48 55.61 59.29 89.05 33.01 315 243.99 68.81 55.72 103.71 144.99 128.42 110.29 299 29 178.31 19.82 48.68 109.53 137.55 63.93
K03485 2 0 4 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 6 2 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 4 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0
K03486 483.46 711.78 41.58 184.25 56.68 25.24 146.91 61.57 11.11 8.47 47.38 148.55 18.71 13.89 145.7 33.94 124.95 453.28 23.28 153.64 853.36 729.49 14.97 364.75 47.11 138.96 277.36 111.79 154.6 293.45 74.77 170.79 3.36 71.61 135.13 10 27.89 1.72 883.28 38.8 38 37.98 16.81 26.28 64.23 6.53 20.13 91.07 95.16 102 95.96 655.97 182.08 10.4 20.92 19.69 23.67 73.4 22.59 24.79 24.65 66.08 38.99 47.96 116.34 9.84 104.72 386.38 74 193.82 68.18 98.99 12.1 120.63 30.59 151.88 236.13 44.27 340.52 97.27 52.58 18.68 27.25 34.62 15.77 29.35 16.75 39.28 170.63 25.16 21.66 308.36 254.64 61.8 247.54 61 42.43 24.07 13.2 87.02 9.41 157 116.9 62.92 11.06
K03487 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
K03488 212.13 2342.66 2471.43 480.11 136.51 178.06 443.82 77.15 253.03 35 99.41 146 267.42 203.31 149 150.57 245.92 162.02 200.19 142.89 250.65 366.73 132.95 181.02 76.87 60.43 300.46 138.59 160.11 611.9 175.47 149.06 168.32 115.01 95.15 169.07 161.26 68.87 163.12 342.97 215.5 451.63 62 410.99 561.79 80.59 169.83 80.45 148 82.11 136.42 481.94 370.25 116 156 192.99 356 55.65 814.59 471.63 470.27 645.59 60 69.88 665.11 437.18 209.52 373.81 173.16 7331.7 254.87 355.59 313.37 1068.1 370.65 568.3 555.22 115.04 232 110 512.97 50.72 165 131.21 91.89 210.24 597.65 734.3 171.14 175.77 125 716.88 827.68 243.61 134.1 677.09 794.05 148.38 101 260.4 93 722.14 958.32 115.33 195
K03489 154.22 0 28 5.82 12 3.74 6.52 1 32.69 5.91 0 0.26 13.58 8.4 2.33 17 2.3 0 40 3.34 4.06 0 9.22 2 11.24 0 12.44 18.91 9 1.34 1 6.05 10 18.12 20.09 4 5 14 2 2.26 1 12 5.52 7 1 19.05 6 32.92 1.82 0 2 3 102.25 0 2 8 12.76 1 3 9 6 7 30.76 6.2 2 8 12.38 11 0 19 1 3 11.93 0 14.82 0 2.78 42.42 1 0 34.54 1.02 0 0 7.48 2 7 3 2 5.96 1 3 3 6.78 166.66 1 6 6.26 0 14.22 1 10 0 14 5
K03490 33.66 0 1 48.18 16.36 36 28.26 21.08 28 10 14 14.68 115.06 36 28.36 10 27.06 26 10 29.8 6 20.2 24 14 12 24 30 41.06 20.22 0 10 15.38 80 22 38.84 6 12 134.88 12.72 6.74 24.76 22 38.42 46 19.16 18 31.28 11.28 57.78 0 25.8 14 22.4 8 45.34 7.56 62.52 20.12 28.3 28 82 10 36 28 81.48 8 0 4.92 4 31.12 18 36 30.6 19.26 14.42 6 7.36 18.08 42.62 23.24 37.26 21.18 28.32 34 20 6.46 28.94 20.08 38 14.7 40 7.34 10 8 19.98 38.96 11.46 27.22 10 25.32 4 2 16.9 64.22 21.28
K03491 284.76 3298.04 1662.25 435.99 91.49 72.09 790.44 351.56 363.44 56.99 137.57 702 320.84 143.66 478.97 557.41 707.68 1761.48 365 509.09 4479.42 3236.54 106.19 1465.38 217.37 855.01 813 531 611.5 2555.29 524.29 892.61 35.62 535.22 707.44 81.19 688 46 3372.78 847.18 553.74 118.99 35 47.26 328.08 144.37 106 129.26 319.24 279.78 249.19 2712.09 643.17 35 34.79 53.91 216.1 333.9 63.42 224.45 101 418 69.51 55 581.97 371.59 758.54 1602.71 482 1022.06 210.01 595 269.69 618.4 294.73 1074.54 984.08 122.08 938.79 546 286.31 64 52.77 120.38 64.01 317.49 118 460.64 752.93 105 61.62 1013.11 1040.14 212.91 635 490.29 111.6 256.32 23.4 188.91 15 877.96 649.13 36.74 31
K03492 591.35 1057.49 1054.86 508.88 68.31 224.03 744.11 1187.83 754.08 355.88 466.83 1262.46 1285.55 1083.95 1570.23 1247.7 2252 1167.21 992.92 1831.43 4366.98 1595.38 370.17 1045.03 792.12 801.65 1468.29 1621.67 1168.21 1663.06 1566.64 1772.05 65 1651.83 1024.23 282.81 1868.03 34 1114.89 2316.31 1279.01 51.5 21 219.52 888.77 381.81 220.68 627.82 493.37 238.13 470.98 1643.55 1218.01 107.96 121.38 14 44 205.95 380 25.62 986.86 349.19 210 261.26 779.01 88 1779.01 1511.93 367.55 708.15 363.76 3069.67 977.67 1096.18 123.6 999.23 676.52 840.17 1073.11 901.6 922.56 125.54 168.94 347.02 478.25 717.61 22.1 788.92 647.41 162.95 54.74 842.6 1346.47 762.28 1308.88 556.67 196.13 44 53.98 183.56 4 32 501.47 26 7
K03495 5859.36 4908.26 5106.45 1680.81 14322.12 2649.23 3187.2 2975.23 1713.09 998.48 756.89 4051.97 3788.62 1928.24 3291.92 3062.81 5092.96 3515.09 2500.19 4314.14 9112.43 4877.85 1367.8 3260.82 2764.9 3307.51 4971.37 2644.03 3158.76 9223.95 2697.41 3666.98 1629.18 2212.76 2928.91 2863.11 4144.76 1170.78 3859.36 4534.68 3385.4 2658.66 732.45 1673.16 1909.85 1312.83 1238.31 2172.5 1832.11 3059.83 1601 5802.02 5476.93 402.17 1333.25 2492.73 4523.27 538.97 2379.96 3490.22 2512.77 1157.59 2832.37 1346.82 2384.45 4265.01 2951 5371.79 1339.68 5542.62 1116.06 4571.02 2192.91 3093.85 16634.93 6432.5 2493.65 1861.19 2281.8 2251.58 1474.83 685.97 2118.02 1213.82 718.01 1824.69 7977.07 2889.22 2799.03 6256.3 1103.89 3228.45 3316.22 2015.54 8076.25 3314.68 2829.61 14894.52 874.92 7153.98 633.65 12567.97 2039.79 10698.46 1064.61
K03496 1069.86 2095.07 3196.9 2415.43 719.88 1002.51 2541.88 1110.48 1012.61 654.95 771.75 1538.64 3503.17 1242.29 1882.77 1384.62 1549.69 1871.11 1350.78 2523.6 4330.14 1816.95 750.2 1472.9 1086.95 1086.69 1705.47 1760.07 1394.07 1968.81 1481.37 1755.57 2344.1 1368.48 1153.57 637.46 1464.73 1928.24 1689.74 1404.11 1351.57 2774.1 1285.11 2186.02 2204.98 767.96 2730.14 1156.63 1654.91 477.52 1874.94 2610.11 1613.02 581.95 1907.87 2032.11 1504.97 552.96 1767.67 1580.61 5160.89 959.14 1484.71 1767.75 2336.69 1005.23 1015.69 2179.32 801.5 2046.28 979.95 4012.99 1615.62 1886.98 1445.64 1605.98 1682.77 1052.12 2255.4 1300.76 1421.64 773.34 1619.78 1899.67 1022.24 1211.58 1285.21 1176.92 4705.72 961.2 1922.45 1672.8 2302.84 2480.01 1576.45 1855.02 2161.15 962.83 1286.69 1192.22 880.74 1109.19 1897.03 1264.58 2241.11
K03497 268.37 704.34 559.43 840.21 266.13 236.83 682.97 140.49 177.68 255.87 155.93 255.49 484.35 409.61 360.49 255.89 208.04 538.36 258.43 486.81 827.61 622.77 110.04 252.5 130.37 166.49 702.24 390.62 370.9 456.86 331.01 413.24 1072.9 227.72 229.63 199.23 199.77 171.9 460.23 290.48 362.57 741.06 184.95 821.92 773.24 91 537.87 221.73 328.54 119.02 508.67 808.68 608.38 167.12 415.85 800.38 569.78 107.22 682.66 636.23 926.14 724.9 287.68 424.2 1114.18 478.42 395 680.39 319.82 1034.71 420.67 956.21 317.31 894.44 768.23 414.07 495.36 265.69 671.89 484.76 466.13 145.04 364.14 462.37 154.65 367.36 799.3 248.76 867.05 408.42 499.01 687.5 1046.57 1157.46 481.13 865.67 1120.97 312.75 645.2 506.77 304.96 370.55 922.83 324.61 686.59
K03498 1532.46 2825.31 942.23 1524.37 1444.89 846.1 1886.84 754.66 1094 315.48 414.29 1073.66 1975.89 803.29 1403.88 1219.74 1197.62 1498.31 1157.69 1595.26 2557.83 1595.19 589.48 1183.82 510.39 755.19 1312.88 1210.72 1134.1 1700.41 1146.09 1456.81 1433.88 889.07 899.64 1126.75 1077.72 1186.33 1459.62 1157.6 893.96 1997.35 653.46 1831.23 1405.55 579.9 1639.82 917.12 1446.18 414.63 1716.5 2209.81 2227.13 689.29 1186.45 2431.13 1624.05 436.48 1783.35 1518.53 2631.33 828.45 616.04 1073.22 1754.07 1458.47 1182.83 1951.69 508.5 2916.27 678.18 2129.89 1264.46 1555.01 1530.17 1630.44 1267.11 678.06 1722.91 915.35 1226.32 678.4 1385.43 1248.12 405.19 1468 1346.44 1682.24 1896.62 917.98 1417.5 1669 1995.13 1806.02 1332.78 2180.01 2564.57 925.01 969.39 1383.38 722.32 1456.19 1736.74 796.58 1708.1
K03499 1086.05 1747.86 143.28 695.52 1273.23 253.48 761.52 213.86 223.05 279.9 149.4 364.83 816.91 559.97 311.7 390.67 323.57 619.41 547.03 393.59 1345.3 917.7 303.5 507.51 118.13 249.28 762.33 447.88 356.35 890.44 417.45 440.46 371.15 358.46 298.56 385.33 263.41 198.43 918.85 329.05 285.33 801.67 179.21 668.95 535.18 117.06 622.97 338.53 529.82 443.57 626.5 955.05 700.82 214.79 543.45 643.52 844.29 171.89 669.05 855.13 1619.97 291.27 316.31 469.13 731.38 790.86 493.66 746.24 282.5 961.23 336.68 869.1 610.68 646.93 1482.5 611.53 614.65 254.65 968.55 414.25 552.69 223.95 390.96 600.53 153.41 522.16 742.63 323.4 723.11 685.75 494.34 584.61 876.06 842.27 471.55 840.52 699.72 1570.74 365.13 900.02 361.63 1540.73 608.22 1211.91 538.25
K03500 62.7 447.46 232.04 149.29 94.9 49.4 277.01 254.09 167.91 36 47 281.72 236.03 78 201 250 346.49 262 152.84 282.25 702.32 487.39 87.57 217.23 163.64 216.57 228.64 272.14 286.35 650.51 173 210.64 139.47 170 223.46 167.69 318.11 98.98 466.63 357.73 257.13 287.02 56.19 252.53 155.5 56.69 209.36 64.12 186 82.46 163.46 432.52 297.68 32 125.95 375.97 148.8 46 132.57 204.99 370.49 129.99 60.9 128.44 209.02 211.66 255 333.53 154.31 480.86 108.09 307.68 123 247.44 135.97 302.35 229.38 80.99 279.26 307.88 209.65 48 91.31 100.02 35 146.72 210.03 204.79 345.74 135.16 150.65 212.51 294.34 245.52 229.79 235 176.27 95.51 141.58 161.49 82.3 194.05 240.45 75.33 158.01
