	T1_LoCHO_PROT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K00315	0.582440846511793	0.428247454518057	0.338165476385304	0.951155520262489	0.443666864101347	0.048844479737511	K00315
K00318	0.582440846511793	0.4096697156797	0.383210859740535	0.949668256904562	0.507650287790096	0.050331743095438	K00318
K00320	0.567512766624759	0.512913828630128	0.0958064398495144	0.252425195525864	0.145936379044965	0.747574804474136	K00320
K00322	3.2662178663576	0.622839171131731	1.28262435834296	0.960022923187564	2.3906894408482	0.0399770768124362	K00322
K00324	11.2569295147161	18.3332841727319	-0.475964779432695	0.784633581032007	-0.703651883556521	0.215366418967993	K00324
K00325	7.94053796997596	10.7028174950054	-0.234739776370464	0.505532862170351	-0.430681975054941	0.494467137829649	K00325
K00326	1.3166900497185	0.738181666983144	0.356606504263533	0.951833179062622	0.834867960294112	0.048166820937378	K00326
K00327	0.620504076874847	0.492736491788268	0.207867200988478	0.835386054295767	0.332624368479872	0.164613945704233	K00327
K00330	20.1626454203562	45.107210435296	-0.55194756776955	0.832948546096729	-1.16167312958139	0.167051453903271	K00330
K00331	49.4131830307446	66.2502475409928	-0.351505193368221	0.693874212555192	-0.423029852804807	0.306125787444808	K00331
K00332	0.582440846511793	0.440474212885299	0.308695697268601	0.945618481465916	0.403053974622868	0.0543815185340843	K00332
K00333	0.664737993543859	0.5633400406599	0.133406772523736	0.462657165990847	0.238779796435118	0.537342834009153	K00333
K00334	0.570563337526804	0.437629631144817	0.278029906258339	0.932234228076673	0.382676623365166	0.0677657719233271	K00334
K00335	0.978269622427677	0.729633364645189	0.216710625614897	0.85762009697671	0.423060440917398	0.14237990302329	K00335
K00336	28.3813741119486	19.9157158954294	0.380595369933614	0.950069810460358	0.511037100458958	0.0499301895396425	K00336
K00337	62.2268680389638	106.235748231492	-0.634208031943013	0.859441824500653	-0.771659772988156	0.140558175499347	K00337
K00338	7.84035005959466	11.3453328036728	-0.358835305129532	0.701045028445487	-0.533108954596554	0.298954971554513	K00338
K00339	0.562731770612632	0.524841755457526	0.0664283162452948	0.130054456591549	0.100564914399941	0.869945543408451	K00339
K00340	0.908570620428379	0.506100965209135	0.405198575562244	0.944271509929937	0.844173429329837	0.0557284900700634	K00340
K00341	7.7437588136885	16.9695153956229	-0.608512943810928	0.849436025733533	-1.13183944152847	0.150563974266467	K00341
K00342	9.79492333649058	14.0039003320622	-0.245639945728452	0.543047280417392	-0.51572259315523	0.456952719582608	K00342
K00343	1281.10017533317	990.460371253717	0.638984402957689	0.896344381032555	0.371212132765056	0.103655618967445	K00343
K00344	0.872287300074479	0.630018311975163	0.263002320117001	0.92174791722556	0.469409622865451	0.07825208277444	K00344
K00346	545.107972466393	488.308648452075	0.288534720215854	0.937881861861237	0.15874869073113	0.0621181381387629	K00346
K00347	219.212535015866	266.578768070046	-0.467474616931791	0.778783529418251	-0.28223158325152	0.221216470581749	K00347
K00348	9.87186989905273	17.5944283635554	-0.518152970736193	0.812091491028469	-0.833723355713218	0.187908508971531	K00348
K00349	68.1763305651735	62.0878105526595	0.132689310267067	0.458256565236853	0.134960894015965	0.541743434763147	K00349
K00350	44.0659920448812	84.1658221067451	-0.819763216694988	0.918839196558426	-0.933568820959913	0.0811608034415735	K00350
K00351	85.614635690407	144.944750831054	-0.828762921813869	0.920716432707927	-0.759573737874342	0.0792835672920726	K00351
