	Prefeed_HiCHO_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC
P53430	1.40819739558759	3.38496182387613	-0.879786722481777	0.970355374913429	-1.26528998347111
Q5UNS9	2.72272910070411	6.30155546505916	-0.879743941582326	0.970350572033712	-1.21065453706489
Q72I01	19.5339566261264	28.6154730412045	-0.87960811254414	0.970335323843788	-0.550811257797953
Q5HRI4	1.11588304699011	2.43927672644143	-0.879295513860738	0.970298581023213	-1.12826760584654
Q8K9C8	2.89733406063033	6.16253451634358	-0.879192579076745	0.970285782706483	-1.08879778609776
Q4KB64	0.902885797130498	2.69379866994652	-0.879072213878714	0.970270818263511	-1.57702660728606
O06000	2.21654852647219	4.52981214081309	-0.878987672761887	0.970260308351338	-1.03113627294488
A4IJV2	6.73253307227203	13.1936607579735	-0.87887760149591	0.970246625456591	-0.970623598386165
Q185S5	12.9389396530424	21.5286761739472	-0.878594963656576	0.970211495332417	-0.734540215833707
A0PXD7	3.48479100071901	6.47947529303924	-0.878522453399923	0.970202483784289	-0.894804855115108
A8GTZ8	2.82975702546413	5.5780394609442	-0.878377477789569	0.970184467523884	-0.97907995785062
A5N5D7	6.56608069733434	11.9206167918921	-0.87821841932435	0.970164703098501	-0.860354499194875
Q0TM79	11.9572980623112	18.6381002905652	-0.878044837296424	0.970143136289833	-0.640363392209745
O35034	1.16268330998531	2.93424215464205	-0.877796183048467	0.970112246263925	-1.33552974632498
Q734W9	2.46444231734151	5.69774265463306	-0.877745064928369	0.970105896529477	-1.20912924835481
Q8RF63	6.48882568236604	12.7143217031552	-0.877692653162855	0.970099386318285	-0.970425182997089
P50614	154.597252098731	212.531458802168	-0.877649164365366	0.970093984619691	-0.459161727876145
B4EYA1	5.64125029941947	11.8902813116139	-0.877608973251497	0.970088992656763	-1.07569599301836
B7LWN3	0.546061104495382	1.27635548993267	-0.87752607608918	0.970078696767747	-1.22489590026968
Q99171	10.1080334252776	16.0003217772889	-0.877490048086124	0.970074222233488	-0.662598578865239
A9KP81	5.65601832682881	9.45305314025283	-0.87748454847942	0.970073539213358	-0.740993570370624
O34383	641.811932955555	762.385153104904	-0.877468254224799	0.970071515572973	-0.248369410759524
A7G9V5	4.05924742667901	7.65332560772106	-0.8773918486532	0.970062026779916	-0.914874499354493
Q5LIY5	0.697287099092199	1.59026704563759	-0.877012258354585	0.970013745990832	-1.18944435560026
Q73MH0	0.54439472795808	1.59193239624061	-0.877006256321988	0.970012954190438	-1.54805407037117
P56117	5.9968457251663	10.5666577290475	-0.876707648078365	0.969973564955902	-0.817243355740366
B3R6D1	0.896610295479582	2.28172579032274	-0.876655824487399	0.969966729690599	-1.34757245350654
Q93NH5	0.845025539468504	1.84323602254842	-0.876588610040438	0.969957864782437	-1.12517396671852
P73651	19.7649923619816	28.4017174671243	-0.876539078404713	0.969951332298761	-0.523030775272506
Q4A070	0.599974294675439	1.5327148591843	-0.876374002814417	0.969929562761087	-1.35311673184062
A0M0A2	1.05114756976627	2.69774253037305	-0.87636287063074	0.969928094772632	-1.35978744328214
B2JIX2	0.96513235496208	2.55456172188396	-0.876355453703894	0.969927116716594	-1.40427708640319
B8I3I1	6.1711463250212	10.221809398783	-0.876312690177741	0.969921477660728	-0.728040187382229
A0A1S4DF18	1.24723279075946	2.78073072041902	-0.876246689461643	0.969912774706898	-1.15673328090481
A5N680	0.924979038605666	3.03772477739763	-0.876204679448544	0.96990723539148	-1.71549858783358
P64962	1.28625510107226	2.90145873643877	-0.876153551669745	0.969900494032062	-1.17360161290058
C1FNY3	4.51939700465206	9.04592359314044	-0.876076527257721	0.969890338528931	-1.00113751466882
B8CGT3	1.41556054755394	3.4063785255465	-0.875867753483903	0.969862814629688	-1.26686530117266
Q0AXC2	0.731036695509554	1.76292424395698	-0.875732888324306	0.969845036467866	-1.26995474937401
Q1MHI1	0.754467283282594	1.7948477048587	-0.875529289195421	0.969818200530095	-1.25033118851089
A0QP32	0.946312394863788	2.0719354079056	-0.875517054964115	0.969816588073353	-1.13059060097744
B2RKU8	0.979857624143706	2.48044777160564	-0.87537048313309	0.969797271049675	-1.33995653787922
A4IQG7	0.948748070466851	2.05686854920312	-0.87527660557996	0.96978489965604	-1.11635264520725
