	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K02067	0.818859153305736	0.712207151459892	0.103124023573898	0.104204409253341	0.201318402258454	0.895795590746659	K02067
K02068	8.80018701137336	18.5083239493996	-0.548817735958156	0.518391270742344	-1.07256816791726	0.481608729257656	K02068
K02069	8.15832443526736	10.2087175342485	-0.190161420279218	0.390237317725098	-0.323456854054615	0.609762682274902	K02069
K02071	401.746154875599	245.035453935188	0.997809670301989	0.888272044753786	0.713293709453552	0.111727955246214	K02071
K02072	134.995501410964	59.718175608872	0.989386048030212	0.887642251751661	1.17666933481489	0.112357748248339	K02072
K02073	315.904820785757	156.205775972423	1.2495701402439	0.914662851331564	1.01604215258391	0.0853371486684359	K02073
K02076	0.722934035644967	0.905023068092421	-0.141698987230049	0.560195423431166	-0.324090551457839	0.439804576568834	K02076
K02078	225.651993587984	182.165498842608	0.415204616358248	0.599507474674102	0.308849778118203	0.400492525325898	K02078
K02079	118.60766376017	83.0587660297343	0.584277471254819	0.747559361208754	0.513992888233563	0.252440638791246	K02079
K02081	11.1136787023088	26.6481267191735	-0.775560485244644	0.637910785574009	-1.26169768202368	0.362089214425991	K02081
K02082	2639.38249779979	1877.77849049055	0.739512829299866	0.814865558424803	0.491173552825095	0.185134441575197	K02082
K02083	4.34310341883812	3.65241327716732	0.139510445505803	0.260279151415565	0.249876288829332	0.739720848584435	K02083
K02086	2.39935948090401	62.3286832077305	-2.40427589590275	0.990308585420007	-4.69917500501014	0.0096914145799929	K02086
K02099	17.4957810139966	16.1276595320659	0.0679248198198327	0.00553780973846318	0.117469980301174	0.994462190261537	K02099
K02100	12.8933726010394	36.4906860337639	-0.635909309844041	0.594800367939831	-1.50089858626148	0.405199632060169	K02100
K02103	7.33159722704148	15.6495171536122	-0.747514871216215	0.608345418503058	-1.09391870886347	0.391654581496942	K02103
K02106	81.8602172737367	29.7458907613786	1.07038373257251	0.899274766067872	1.46047211455261	0.100725233932128	K02106
K02108	475.888708329264	463.427543615403	0.0532865045854613	0.000603941509473294	0.0382804305869471	0.999396058490527	K02108
K02109	284.890666543989	279.542510877012	0.048516874578787	0.00376666746589627	0.0273406627692076	0.996233332534104	K02109
K02110	147.020874153336	71.6424160265496	0.964298775376989	0.885331101735865	1.03713510886536	0.114668898264135	K02110
K02111	4601.43384247398	3618.24512721582	1.02483173110521	0.898250559987623	0.346793335877075	0.101749440012377	K02111
K02112	3814.86504658334	4135.99970699205	-0.436906058026123	0.368804253716189	-0.116604061792374	0.631195746283811	K02112
K02113	522.612911561688	607.53476471162	-0.308315664533392	0.2626677097415	-0.217224197814404	0.7373322902585	K02113
K02114	86.4309061125838	83.7920009301746	0.0418931953455575	0.0137660338636807	0.044734760113115	0.986233966136319	K02114
K02115	946.865196768477	1081.954833372	-0.537086168009163	0.504266026875961	-0.192409322623627	0.495733973124039	K02115
K02117	1101.89700307383	768.648764742822	1.29466498611767	0.929915823661394	0.519592965968488	0.0700841763386061	K02117
K02118	869.278002314232	591.780084111726	1.34079256806472	0.935522397677595	0.554756492077407	0.0644776023224051	K02118
K02119	188.541730167209	228.451490397505	-0.354023697526133	0.294931721004276	-0.277003982333658	0.705068278995724	K02119
K02120	144.344992177831	107.305191952288	0.510870399009162	0.706868904875267	0.427801173953745	0.293131095124733	K02120
K02121	60.3729276513569	43.7536008357101	0.415311044513643	0.599617137409733	0.46450001033739	0.400382862590267	K02121
K02122	36.945387093096	33.6476983537726	0.108548768134697	0.128794768251023	0.134886422678413	0.871205231748977	K02122
K02123	637.2454299093	540.747468825108	0.502109087441372	0.699558475846342	0.236894114686083	0.300441524153658	K02123
K02124	42.3178735763143	34.7352917492295	0.223738482252536	0.442209320927333	0.284864920644027	0.557790679072667	K02124
K02126	0.991886903774166	1.05856545430131	-0.0349102945987817	0.481819585910972	-0.093862941147812	0.518180414089028	K02126
K02127	0.60773663894929	0.79147092089041	-0.185496716807192	0.408423336926637	-0.381090074821898	0.591576663073363	K02127
K02128	0.469838639012128	0.535834997555636	-0.13415354345332	0.574942215252489	-0.189623448638558	0.425057784747511	K02128
K02132	1.32265587103513	1.14990023183827	0.0767852771210593	0.0176656785438979	0.201929054807429	0.982334321456102	K02132
K02133	3.62871514084824	3.93497825868586	-0.0396341674866531	0.502177247638172	-0.116896856951189	0.497822752361828	K02133
K02134	0.800343958942871	0.962835010583526	-0.110758115954717	0.596042961840584	-0.266668450489289	0.403957038159416	K02134
K02135	0.477074835357521	0.553069985135936	-0.143037650813399	0.557106716540532	-0.213246460398557	0.442893283459468	K02135
K02136	0.654288527126403	0.794085047013855	-0.129236238804899	0.582116128841268	-0.279366555768974	0.417883871158732	K02136
K02137	0.800706845598702	0.718193124550747	0.0778188944576747	0.0196086539049045	0.156902298720407	0.980391346095095	K02137
K02138	0.608865843581816	0.788818116299173	-0.198145018909693	0.361834769375039	-0.373568303298441	0.638165230624961	K02138
K02139	0.510407154618827	0.533412421038706	-0.0418668735236512	0.510815476968286	-0.0636028676845793	0.489184523031714	K02139
K02140	0.479956094147852	0.522297792344819	-0.0866985935211275	0.596542074275478	-0.121970169995912	0.403457925724522	K02140
K02141	0.757887994560561	0.926935457794858	-0.125439507863223	0.586459485942286	-0.290484234344514	0.413540514057714	K02141
K02142	0.502657835819586	0.557639865357557	-0.0998977698991705	0.598558496460778	-0.149757025056676	0.401441503539222	K02142
