	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K13199	0.735903273263964	0.689646581684592	0.0442914009871354	0.63043972027793	0.0936589281505091	0.36956027972207	K13199
K13201	0.90927242823186	0.552217302164733	0.370439351252829	0.66034869510692	0.719476515427011	0.33965130489308	K13201
K13205	0.518777875196138	0.484961139727345	0.0751910211035446	0.686886790278295	0.0972478051642278	0.313113209721705	K13205
K13211	0.511056140802657	0.493340213427884	0.0395384910134962	0.616954953352826	0.0508988936441767	0.383045046647174	K13211
K13216	0.513610732562295	0.483051636676334	0.0672485057210141	0.676706955616696	0.088497932964877	0.323293044383304	K13216
K13217	0.514615040568128	0.493340213427884	0.0458528780525575	0.634560453813858	0.0609107331920212	0.365439546186142	K13217
K13236	0.506123729061128	0.493340213427884	0.0281789753083907	0.579315395494394	0.0369072252180734	0.420684604505606	K13236
K13239	0.496047794457736	0.484350267788365	0.0257079799438882	0.570166882828053	0.0344283923985531	0.429833117171947	K13239
K13243	0.554047761109963	0.729933967909383	-0.256866721705535	0.403638385216766	-0.397755611569608	0.596361614783234	K13243
K13244	0.529567264183164	0.493340213427884	0.0783848940568477	0.690410365290526	0.102231053124557	0.309589634709474	K13244
K13252	9.85799545199123	7.36738740214573	0.173954072726143	0.665368185635397	0.420141209015042	0.334631814364603	K13252
K13255	0.542005316634393	0.493340213427884	0.102555161112585	0.708020606594236	0.135724113417986	0.291979393405764	K13255
K13256	0.547968414632646	0.516163883865272	0.0582821343799194	0.662082604483341	0.0862635382299509	0.337917395516659	K13256
K13265	0.511056140802657	0.493340213427884	0.0395384910134962	0.616954953352826	0.0508988936441767	0.383045046647174	K13265
K13274	0.524813310281573	0.470522562281198	0.119728243153581	0.708153942966476	0.157540405898617	0.291846057033524	K13274
K13275	7.57207858949266	7.36857766914338	0.0191740364057328	0.544321867256945	0.0393032168394543	0.455678132743055	K13275
K13278	1.96390501714457	2.51219323203618	-0.186587402940727	0.274367264757293	-0.355222280800086	0.725632735242707	K13278
K13280	35.6206884845928	46.7322745301906	-0.277481222449016	0.432049635809848	-0.391703855612467	0.567950364190152	K13280
K13281	0.488104206946619	0.507632451797775	-0.0386320986594143	0.198247798225186	-0.0565951140631942	0.801752201774814	K13281
K13282	0.506123729061128	0.493340213427884	0.0281789753083907	0.579315395494394	0.0369072252180734	0.420684604505606	K13282
K13283	8.9952812916883	8.08858085652496	0.0944366344438743	0.704024046063736	0.153281793075845	0.295975953936264	K13283
K13288	7.16014620667212	7.68214642313779	-0.0516962346745244	0.117684524470376	-0.101520415251378	0.882315475529624	K13288
K13289	2.95924548159673	1.9772563154858	0.215154767868454	0.656908343754209	0.581729476505551	0.343091656245791	K13289
K13290	194.167666121941	277.359597560144	-0.661718243715166	0.640435983055026	-0.514454673182505	0.359564016944974	K13290
K13292	407.279981437308	221.825844847791	0.768649492120635	0.796780241735263	0.876593441798161	0.203219758264737	K13292
K13302	0.518339724106336	0.774853234215464	-0.336022331387162	0.504900580142368	-0.580025111772287	0.495099419857632	K13302
K13303	0.915380189500954	0.594605021971167	0.321551193566546	0.662688177751494	0.62243942157413	0.337311822248506	K13303
K13306	0.513610732562295	0.465844582033556	0.106094969725855	0.70901078222556	0.140826635497943	0.29098921777444	K13306
K13310	236.379958041501	121.497176477871	0.969857224755423	0.886370318865699	0.960184932003434	0.113629681134301	K13310
K13319	0.518777875196138	0.476016463964163	0.0944585919400253	0.704038156667567	0.124105480103534	0.295961843332433	K13319
K13327	0.506123729061128	0.504218709852906	0.00414969865609433	0.474191297962659	0.00544046239299827	0.525808702037341	K13327
K13328	1.26279354631058	1.77892015097204	-0.268379356545325	0.419947861811893	-0.494382962229431	0.580052138188107	K13328
K13329	0.52008961133453	0.493340213427884	0.0588089983060745	0.663051389722657	0.0761773308301841	0.336948610277343	K13329
K13333	1.57614658588435	0.75614118209702	0.464894887321785	0.660606275104137	1.05967417958389	0.339393724895863	K13333
K13337	0.511056140802657	0.482485460303324	0.063854538001123	0.671615743356199	0.0829963161191695	0.328384256643801	K13337
K13338	0.476208724095784	0.484398151643882	-0.0183425233053996	0.336159743938009	-0.0245993091598765	0.663840256061991	K13338
K13339	0.516042234745109	0.532693784501159	-0.0322606405884888	0.240753283465918	-0.0458173017453816	0.759246716534082	K13339
K13342	0.54274797153011	0.54518877543732	-0.00458773143419769	0.425008628789275	-0.00647343075892017	0.574991371210725	K13342
K13344	0.508835318799223	0.510453726320883	-0.00349441882025809	0.431517405069803	-0.0045813706699249	0.568482594930197	K13344
K13345	0.506123729061128	0.482485460303324	0.0522504833539761	0.649882921911674	0.0690046476930662	0.350117078088326	K13345
K13346	0.518777875196138	0.475356557982895	0.0964322067635075	0.70521250906248	0.126106889051134	0.29478749093752	K13346
K13352	0.508835318799223	0.505025174642962	0.00829161914739875	0.495232906126514	0.0108435075486449	0.504767093873486	K13352
K13357	0.518777875196138	0.505025174642962	0.0298966195540723	0.585475502802979	0.0387616473984295	0.414524497197021	K13357
K13367	0.499169097326697	0.476670831431203	0.0500753673751812	0.644958809302863	0.0665352759456332	0.355041190697137	K13367
K13370	0.787719590522494	0.93895271119855	-0.143621722248575	0.147434763751722	-0.253370344880692	0.852565236248278	K13370
K13378	843.08058864568	1412.60702973693	-1.38365661055892	0.9197091860878	-0.744617733452965	0.0802908139121999	K13378
K13381	0.873708731056408	0.800482239944825	0.0612061527890231	0.66727939430179	0.126283013071715	0.33272060569821	K13381
