	T1_LoCHO_PROT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K00337	56.4906469750871	88.5536377796149	-0.454490417272295	0.812836655329845	-0.648539550404226	0.187163344670155	K00337
K00338	7.11760789728861	8.18189249389006	-0.125214939075955	0.697905624541118	-0.201042122789971	0.302094375458882	K00338
K00339	0.510857814271464	0.524816115464605	-0.0234236614988605	0.645608466610781	-0.038890215828182	0.354391533389219	K00339
K00340	0.824816414324716	0.738188927534646	0.0682320007160733	0.878271568593575	0.160082945418715	0.121728431406425	K00340
K00341	7.0299206627334	11.0238587013939	-0.315612953435879	0.804916975789917	-0.649048988748456	0.195083024210083	K00341
K00342	8.89200394921475	13.9773960610681	-0.289472957020988	0.806349536893597	-0.652515122592265	0.193650463106403	K00342
K00343	1163.00530663303	863.695020346027	0.750712573676162	0.849769069644484	0.429263802778021	0.150230930355516	K00343
K00344	0.791877776951665	1.07503274268754	-0.202082286173472	0.778965764178921	-0.441030922595868	0.221034235821079	K00344
K00346	494.858619858916	454.304531939249	0.210801021245514	0.821302278499447	0.123356711756419	0.178697721500553	K00346
K00347	199.005000867812	210.688953774256	-0.11186783556627	0.678718744587995	-0.082309991755917	0.321281255412005	K00347
K00348	8.96185739417559	10.5548926652973	-0.126735434657656	0.700693260496553	-0.236042232862908	0.299306739503447	K00348
K00349	61.8916738602772	52.6910825958001	0.204703203014829	0.822409162575338	0.232186518399464	0.177590837424662	K00349
K00350	40.0038838312685	43.0991315261479	-0.0768575978516584	0.666889171983228	-0.107518725617461	0.333110828016772	K00350
K00351	77.722474440769	91.0477538265731	-0.204890572723449	0.779789577781169	-0.228291593395633	0.220210422218831	K00351
K00354	10.4184685193964	8.04322280927197	0.177829286432286	0.833872885539637	0.373297631263242	0.166127114460363	K00354
K00355	0.635003325526382	0.826630937757009	-0.193556942389535	0.776080348415914	-0.380479212164161	0.223919651584086	K00355
K00362	0.928797455881664	0.960522744428229	-0.0194799265685381	0.654346161470603	-0.0484557557403642	0.345653838529397	K00362
K00363	0.528750060561725	0.502849165631939	0.05073268659295	0.865794113912987	0.0724602085902894	0.134205886087013	K00363
K00364	549.027864206993	377.494713639498	0.616646437125744	0.835477431862113	0.540422929236046	0.164522568137887	K00364
K00366	78.7732770906711	97.988751421786	-0.269097260003796	0.802200684708063	-0.314909849827687	0.197799315291937	K00366
K00367	0.526747524136906	0.454175404344152	0.145194786433574	0.855757613901136	0.213862048294289	0.144242386098864	K00367
K00370	176.680232381853	297.792234327461	-0.675301522329876	0.788940399844484	-0.753165497529635	0.211059600155516	K00370
K00371	1.36098859470909	1.4568925802219	-0.0457769311264852	0.637080216301782	-0.0982395314711215	0.362919783698218	K00371
K00372	0.624336210216152	0.487865854437602	0.226705642410844	0.82023042631493	0.355838628495739	0.17976957368507	K00372
K00373	0.593395943841244	0.500565826485912	0.167842698026302	0.840350898417115	0.245435263379234	0.159649101582885	K00373
K00374	0.605295735444628	0.523455121654702	0.134131614210407	0.863705669869233	0.209574333490884	0.136294330130767	K00374
K00375	185.659865458811	190.772600410601	-0.0535526166926608	0.645388099999703	-0.0391920019858917	0.354611900000297	K00375
K00381	5.93642277184541	8.69929622059355	-0.294151782041637	0.806472613154021	-0.551304851148743	0.193527386845979	K00381
K00382	124.827772816382	135.454331538117	-0.10828489011973	0.675650171388878	-0.117867574755178	0.324349828611122	K00382
K00383	1202.32856829358	620.791920090631	1.10529383363212	0.829988342637236	0.953649519380406	0.170011657362764	K00383
K00384	1639.95224761636	1470.48913670555	0.394195255707038	0.812641923988381	0.157357680537384	0.187358076011619	K00384
K00385	10.7967207322879	9.63737100075874	0.0965545718021427	0.880866531151116	0.163881642521925	0.119133468848884	K00385
K00390	15.9240830088573	13.4049147309844	0.146811799179396	0.854615867289534	0.248448254695332	0.145384132710466	K00390
K00392	7.6689938331668	7.62832348698353	0.0040061256628376	0.736305044592374	0.00767128559467476	0.263694955407626	K00392
K00394	0.517769614775774	0.769107691037379	-0.303514180722166	0.806115038624689	-0.570875316173495	0.193884961375311	K00394
K00404	0.516603258167799	0.498433064463324	0.0357738167485553	0.840931046045094	0.0516569670912298	0.159068953954906	K00404
K00406	0.5234793564864	0.494978393271389	0.0563033026969888	0.871275818213132	0.0807670950674317	0.128724181786868	K00406
K00411	0.932864388513545	0.938575036961925	-0.00355292891074135	0.706702652054839	-0.00880471967869705	0.293297347945161	K00411
K00412	3.83520939650898	4.46744731009088	-0.070501919233386	0.663095332401677	-0.220145365152582	0.336904667598323	K00412
K00413	0.87210671190375	0.961800806721608	-0.0528401296692883	0.644547177539999	-0.141233460790251	0.355452822460001	K00413
K00414	1.53936254685131	2.34942873286779	-0.200858542945951	0.778592697314074	-0.609976954316541	0.221407302685926	K00414
K00415	1.07938162874009	1.21694241804092	-0.0666221130852421	0.659882716880788	-0.173055868074381	0.340117283119212	K00415
K00416	0.54803658869494	0.654281947356423	-0.145404846223659	0.735069859207465	-0.255640249689885	0.264930140792535	K00416
K00417	0.533788949016546	0.617914885013299	-0.132863106984252	0.712404843332934	-0.21113868927777	0.287595156667066	K00417
K00418	0.778916361005768	0.686898642560694	0.0786800038709826	0.880870642503326	0.181371188495543	0.119129357496674	K00418
K00419	0.558509021872652	0.506586570049205	0.0973087114311055	0.880764440057859	0.140771754722619	0.119235559942141	K00419
K00420	0.557140353013434	0.554567525740637	0.00462505524637374	0.738743313101778	0.00667767467566934	0.261256686898222	K00420
K00425	1054.83183000474	889.004878659128	0.473243284762253	0.81887395770511	0.246749769540308	0.18112604229489	K00425
K00426	95.6693826513853	86.9697606206884	0.136928096727088	0.861694510820757	0.137543425529396	0.138305489179243	K00426
K00427	6.04718227123919	6.120846494191	-0.00941035455316168	0.685062272910446	-0.0174681223300104	0.314937727089554	K00427
K00428	51.5455479416058	76.2005709626607	-0.385898167058422	0.792310946271816	-0.563953982256742	0.207689053728184	K00428
K00432	873.700403415933	576.226122590699	0.96522149331227	0.877732939050054	0.600503591602852	0.122267060949946	K00432
K00433	0.836627976463673	1.76670094978484	-0.384942930221255	0.792214302150292	-1.07839970798208	0.207785697849708	K00433
K00437	2.90529702578581	2.16409483568424	0.224959592478043	0.820251870064252	0.424921943647923	0.179748129935748	K00437
K00441	1.38309853248473	0.971185097559643	0.257538984649009	0.820388643843962	0.510085749005648	0.179611356156038	K00441
K00443	0.510006110602277	0.493950938533769	0.0313725192456539	0.830341942748946	0.0461467788802443	0.169658057251054	K00443
K00455	0.516882208920878	0.496401322395188	0.0398147855345192	0.849293867794164	0.0583285868326116	0.150706132205836	K00455
K00459	4.2906022936514	6.85164322564493	-0.338574448516033	0.801436602911716	-0.675269849914377	0.198563397088284	K00459
K00463	0.517238085578486	0.494978393271389	0.0442734078246703	0.85705748294475	0.0634629581862477	0.14294251705525	K00463
K00484	0.715811742949272	0.806018033489556	-0.0825632131508286	0.668863428052388	-0.171231905855802	0.331136571947612	K00484
K00507	0.624799956577277	0.580405422602298	0.0699684887484675	0.87888390565127	0.106333354959332	0.12111609434873	K00507
K00510	0.507442920460808	0.483467966533968	0.0481307155181189	0.862608346413466	0.0698252471360254	0.137391653586534	K00510
K00511	0.584660831464355	0.529967912520162	0.0937984929347082	0.881170248234157	0.141694930425341	0.118829751765843	K00511
K00520	2.58539186714159	0.872982004928639	0.613382664950962	0.835829516698515	1.56635914549206	0.164170483301485	K00520
K00522	0.517238085578486	0.494978393271389	0.0442734078246703	0.85705748294475	0.0634629581862477	0.14294251705525	K00522
K00523	1.4422369372844	0.836745595542108	0.312056246203196	0.817404384347178	0.785447239600946	0.182595615652822	K00523
K00525	836.058519383206	680.5609429718	0.554999790118377	0.823701785024891	0.296879568177718	0.176298214975109	K00525
K00526	516.016798251117	285.149487779331	0.940981539743267	0.865205189210969	0.855699590297531	0.134794810789031	K00526
K00527	2.97048106754844	2.31856991915709	0.162003022546517	0.844260559577858	0.357461359999867	0.155739440422142	K00527
K00528	205.437372902991	182.008878759235	0.223225650606813	0.820290499305638	0.174689829053431	0.179709500694362	K00528
K00529	0.558607916101288	0.606550837581633	-0.0619740026052454	0.655211934838629	-0.118792550393049	0.344788065161371	K00529
K00532	142.836661004912	125.766034986327	0.231448309667095	0.820239662215489	0.183623961259091	0.179760337784511	K00532
K00533	37.980208233883	32.4658280429182	0.178021968622961	0.833755345547226	0.226325809506346	0.166244654452774	K00533
K00537	0.533539793073241	0.494978393271389	0.0755102485860524	0.880335217451205	0.108230325547527	0.119664782548795	K00537
K00547	8.87641004030599	6.68090217431222	0.152497393097847	0.85067836534277	0.40993337927031	0.14932163465723	K00547
K00548	609.964367257576	514.934603447402	0.539232204081973	0.820356574206019	0.24433574408996	0.179643425793981	K00548
K00549	22.4330572991382	27.8310577422357	-0.182490285065756	0.770966120959436	-0.31106948836749	0.229033879040564	K00549
K00551	0.553340990077902	0.489759496366147	0.121487550889834	0.872098848147674	0.17609533246548	0.127901151852326	K00551
K00554	526.309789469081	651.105236602275	-0.573516481196739	0.803861990872732	-0.306978512129323	0.196138009127268	K00554
K00555	0.528750060561725	0.487727754298011	0.0806726384754601	0.881112609188131	0.116509851760122	0.118887390811869	K00555
K00556	13.1848517436577	17.6144606027652	-0.212274770736825	0.781861783757904	-0.417878947721804	0.218138216242096	K00556
K00557	0.547514199890023	0.603588324423578	-0.0915124426788626	0.670252949696441	-0.14066851742324	0.329747050303559	K00557
K00558	68.523957899935	97.6621075037547	-0.428046872467786	0.804576795099827	-0.511190428042157	0.195423204900173	K00558
K00559	0.574715817680746	0.588470611628617	-0.0220159643054276	0.648483314271349	-0.0341216120506863	0.351516685728651	K00559
K00560	592.775020247719	634.863106250704	-0.193314528056507	0.775986987207253	-0.0989608879001907	0.224013012792747	K00560
K00561	150.643040526519	869.255541476342	-2.22160596009191	0.996139361067995	-2.52864633490557	0.0038606389320045	K00561
K00563	76.260658135341	97.25451478996	-0.368411305344667	0.793243864174999	-0.3508262433621	0.206756135825001	K00563
K00564	34.5312733183257	50.9302441491387	-0.360948240873876	0.795192935306279	-0.560619099619134	0.204807064693721	K00564
K00565	0.528750060561725	0.489759496366147	0.0766999238178643	0.880559217623845	0.110512457062045	0.119440782376155	K00565
K00566	1530.67089273863	1327.76409038519	0.393943343806715	0.812651095283874	0.205165284917299	0.187348904716126	K00566
K00567	122.434328326213	121.078778085254	0.0183146000966929	0.790375457157932	0.0160620989949406	0.209624542842068	K00567
K00568	4.62427939333289	5.77617465377244	-0.199763567787291	0.778250089830932	-0.320885799199073	0.221749910169068	K00568
K00571	163.898000202414	96.8743703353107	0.686462232756011	0.823077644506229	0.758611318356893	0.176922355493771	K00571
K00573	0.524858878173736	0.494188330889931	0.0599473180296635	0.87401138929358	0.0868686240276606	0.12598861070642	K00573
K00574	21.7114098024075	14.9635856556404	0.312852698100291	0.817324244493271	0.536997485466302	0.182675755506729	K00574
K00575	3.8227445739685	5.98003518724743	-0.285561008312747	0.80603721878027	-0.645545167245725	0.19396278121973	K00575
K00586	0.516882208920878	0.489879394336286	0.0529707220889988	0.868205389668117	0.0774089363855601	0.131794610331883	K00586
K00587	0.528750060561725	0.504481633058489	0.0477172653532702	0.862060007311531	0.0677841781829158	0.137939992688469	K00587
K00590	3.68644675597185	5.30283699486531	-0.163654018294919	0.757565587675138	-0.524533481812686	0.242434412324862	K00590
K00591	0.740340277181162	0.846651393541951	-0.092170099936136	0.670324501733507	-0.193579547440626	0.329675498266493	K00591
K00595	0.528750060561725	0.494773912813727	0.0668638039742675	0.877725435267521	0.0958164879274768	0.122274564732479	K00595
K00598	0.530458598802899	0.48357418357522	0.0858462036456129	0.881437094559792	0.133502930237467	0.118562905440208	K00598
K00600	1169.58923297846	1488.41162744035	-0.5556529796432	0.802726752333259	-0.347771630642512	0.197273247666741	K00600
K00601	4.61659074818637	5.51474197792445	-0.148391461706073	0.739663613099948	-0.256465541078469	0.260336386900052	K00601
K00602	1277.83047342606	1288.67859877727	-0.0436925507372788	0.635414080589542	-0.0121960448307291	0.364585919410458	K00602
K00603	96.5707333937998	82.9802570133702	0.199965470876746	0.823613915354138	0.218817908285237	0.176386084645862	K00603
K00604	592.352495395115	503.338498912065	0.472981405659004	0.818912735460877	0.234926996510005	0.181087264539123	K00604
K00605	26.5292931567445	33.3849870547804	-0.243097957396074	0.792224451193475	-0.33161324373001	0.207775548806525	K00605
K00606	246.987840254475	266.736633628903	-0.163937103479325	0.757826552271414	-0.11097596177811	0.242173447728586	K00606
K00607	0.54751722358252	0.494978393271389	0.0988114806207804	0.880532039654179	0.145538798921966	0.119467960345821	K00607
K00609	1187.07021640975	995.573711554723	0.548018494980112	0.82166092920836	0.253805233275521	0.17833907079164	K00609
K00610	624.859140493135	316.151000458694	1.18086731193507	0.89240612095291	0.982917220507523	0.10759387904709	K00610
K00611	763.844159682826	536.626580964772	0.931896780403963	0.858842043540665	0.50935981004166	0.141157956459335	K00611
K00612	0.543899491954403	0.485241093177277	0.113819760424795	0.876051967400286	0.164638346358284	0.123948032599714	K00612
K00613	473.213218583746	271.359552428824	1.02138855795433	0.839773839979624	0.802284678529627	0.160226160020376	K00613
K00615	2026.35197776292	1847.08050870211	0.443163947945631	0.820575474654742	0.13363804189396	0.179424525345258	K00615
